PPG,HR,SPO2
48,86,98
48,86,98
47,86,98
47,85,98
47,85,98
47,85,98
43,85,98
41,85,98
40,85,98
37,85,98
35,85,98
34,85,98
32,85,98
30,85,98
29,85,98
28,85,98
27,85,98
27,85,98
27,85,98
26,85,98
26,85,98
26,85,98
25,85,98
25,85,98
26,85,98
29,85,98
35,85,98
42,85,98
51,85,98
60,85,98
68,85,98
72,85,98
74,85,98
73,85,98
69,85,98
64,85,98
59,85,98
54,85,98
50,85,98
50,85,98
45,85,98
43,85,98
43,85,98
44,85,98
44,85,98
44,85,98
45,85,98
44,85,98
44,85,98
41,85,98
40,85,98
38,85,98
36,85,98
34,85,98
32,85,98
30,85,98
28,85,98
27,85,98
26,85,98
25,85,98
24,85,98
24,85,98
24,85,98
23,85,98
23,85,98
23,85,98
23,85,98
23,85,98
24,85,98
28,85,98
34,85,98
41,85,98
49,85,98
58,85,98
64,85,98
68,85,98
69,85,98
67,85,98
63,85,98
59,85,98
54,85,98
49,85,98
45,85,98
42,85,98
40,85,98
40,85,98
40,85,98
40,85,98
41,85,98
42,85,98
42,85,98
41,85,98
40,85,98
38,85,98
36,85,98
33,85,98
31,85,98
29,85,98
27,85,98
25,85,98
24,85,98
23,85,98
22,85,98
21,85,98
21,85,98
21,85,98
21,85,98
21,85,98
21,85,98
21,85,98
21,85,98
22,85,98
23,85,98
27,85,98
33,85,98
40,85,98
50,85,98
59,85,98
67,85,98
73,85,98
75,85,98
73,85,98
70,85,98
66,85,98
61,85,98
61,85,98
56,85,98
51,85,98
48,85,98
45,85,98
44,85,98
43,85,98
43,85,98
44,85,98
44,85,98
44,85,98
44,85,98
43,85,98
41,85,98
40,85,98
37,85,98
35,85,98
33,85,98
31,85,98
30,85,98
28,85,98
27,85,98
26,85,98
25,85,98
24,85,98
24,85,98
24,85,98
24,85,98
24,85,98
23,85,98
23,85,98
23,85,98
22,85,98
23,85,98
25,85,98
30,85,98
38,85,98
46,85,98
56,85,98
65,85,98
71,85,98
75,85,98
75,85,98
72,85,98
68,85,98
63,85,98
59,85,98
54,85,98
50,85,98
47,85,98
45,85,98
44,85,98
44,85,98
44,85,98
44,85,98
44,85,98
44,85,98
43,85,98
42,85,98
40,85,98
40,85,98
40,85,97
40,85,97
40,85,97
35,85,97
31,85,97
29,85,97
29,85,97
26,85,97
25,85,97
25,85,97
24,85,97
24,85,97
23,85,97
23,85,97
23,85,97
23,85,97
23,85,97
22,85,97
22,85,97
22,85,97
24,85,97
29,85,97
36,85,97
44,85,97
54,85,97
63,85,97
70,85,97
74,85,97
75,85,97
72,85,97
68,85,97
63,85,97
58,85,97
54,85,97
49,85,97
46,85,97
44,85,97
43,85,97
43,85,97
44,85,97
44,85,97
45,85,97
45,85,97
44,85,97
43,85,97
41,85,97
40,85,97
38,85,97
35,85,97
33,85,97
31,85,97
30,85,97
28,85,97
27,85,97
27,85,97
26,85,97
26,85,97
26,85,97
26,85,97
25,85,97
25,85,97
25,83,97
25,83,97
25,83,97
25,83,97
27,83,97
31,83,97
38,83,97
45,83,97
54,83,97
62,83,97
68,83,97
71,83,97
72,83,97
69,83,97
65,83,97
60,83,97
55,83,97
50,83,97
46,83,97
43,83,97
41,83,97
40,83,97
41,83,97
41,83,97
42,83,97
43,83,97
42,83,97
42,83,97
40,83,97
39,83,97
37,83,97
35,83,97
33,83,97
31,83,97
29,83,97
27,83,97
26,83,97
24,83,97
23,83,97
23,83,97
23,83,97
22,83,97
23,83,97
23,83,97
23,83,97
23,83,97
25,83,97
29,83,97
36,83,97
43,83,97
52,83,97
61,83,97
68,83,97
72,83,97
73,83,97
71,83,97
67,83,97
62,83,97
57,83,97
52,83,97
48,83,97
48,83,97
45,83,97
42,83,97
41,83,97
41,83,97
42,83,97
43,83,97
43,83,97
44,83,97
43,83,97
42,83,97
40,83,97
39,83,97
37,83,97
34,83,97
32,83,97
30,83,97
28,83,97
27,83,97
26,83,97
25,83,97
24,83,97
24,83,97
24,83,97
23,83,97
23,83,97
23,83,97
23,83,97
24,83,97
27,83,97
33,83,97
40,83,97
49,83,97
58,83,97
66,83,97
71,83,97
73,83,97
73,83,97
69,83,97
64,83,97
64,83,97
54,83,97
50,83,97
50,83,97
43,83,97
41,83,97
41,83,97
41,83,97
41,83,97
41,83,97
42,83,97
42,83,97
41,83,97
40,83,97
39,83,97
37,83,97
34,83,97
32,83,97
30,83,97
28,83,97
26,83,97
26,83,97
26,83,97
26,83,97
23,83,97
22,83,97
22,83,97
21,83,97
21,83,97
21,83,97
21,83,97
22,83,97
25,83,97
31,83,97
39,83,97
47,83,97
55,83,97
63,83,97
68,83,97
69,83,97
68,83,97
65,83,97
61,83,97
56,83,97
52,83,97
47,83,97
44,83,97
41,83,97
40,83,97
39,83,97
39,83,97
39,83,97
39,83,97
39,83,97
38,83,97
37,83,97
36,83,97
35,83,97
33,83,97
31,83,97
29,83,97
28,83,97
26,83,97
25,83,97
23,83,97
22,83,97
21,83,97
21,83,97
20,83,97
20,83,97
19,83,97
19,83,97
18,83,97
19,83,97
21,83,97
25,83,97
31,83,97
40,83,97
47,83,97
