PPG,HR,SPO2
34,124,95
32,124,95
30,124,95
28,124,95
27,124,95
28,124,95
31,124,95
37,124,95
46,124,95
56,124,95
66,124,95
74,124,95
79,124,95
80,124,95
77,124,95
73,124,95
68,124,95
63,124,95
58,124,95
53,124,95
50,124,95
48,124,95
46,124,95
46,124,95
45,124,95
45,124,95
45,124,95
43,124,95
41,124,95
40,124,95
40,122,95
40,122,95
40,122,95
32,122,95
30,122,95
30,122,95
33,122,95
40,122,95
50,122,95
61,122,95
71,122,95
79,122,95
84,122,95
84,122,95
80,122,95
73,122,95
70,122,95
66,122,95
61,122,95
57,122,95
54,122,95
52,122,95
50,122,95
48,122,95
46,122,95
45,122,95
42,122,95
40,122,95
38,122,95
35,122,95
32,122,95
30,122,95
29,122,95
30,122,95
34,122,95
41,122,95
51,122,95
62,122,95
72,122,95
80,122,95
84,122,95
84,122,95
81,122,95
78,122,95
73,122,95
68,122,95
63,122,95
59,122,95
55,122,95
52,122,95
49,122,95
47,122,95
45,122,95
43,122,95
41,122,95
40,122,95
37,122,95
34,122,95
31,122,95
27,122,95
27,120,95
27,120,95
27,120,95
19,120,95
21,120,95
26,120,95
35,120,95
44,120,95
54,120,95
63,120,95
69,120,95
71,120,95
70,120,95
67,120,95
63,120,95
58,120,95
54,120,95
50,120,95
47,120,95
44,120,95
42,120,95
40,120,95
40,120,95
38,120,95
35,120,95
33,120,95
30,120,95
27,120,95
24,120,95
21,120,95
18,120,95
15,120,95
13,120,95
11,120,95
10,120,95
13,120,95
20,120,95
30,120,95
40,120,95
51,120,95
60,120,95
66,120,95
68,120,95
68,120,95
65,120,95
61,120,95
58,120,95
54,120,95
50,120,95
46,120,95
43,120,95
40,120,95
38,120,95
36,120,95
35,120,95
33,120,95
32,120,95
30,120,95
27,120,95
27,122,96
25,122,96
22,122,96
19,122,96
17,122,96
15,122,96
13,122,96
11,122,96
10,122,96
11,122,96
15,122,96
24,122,96
35,122,96
45,122,96
56,122,96
64,122,96
69,122,96
70,122,96
69,122,96
66,122,96
62,122,96
59,122,96
55,122,96
51,122,96
48,122,96
45,122,96
43,122,96
42,122,96
41,122,96
40,122,96
39,122,96
37,122,96
35,122,96
33,122,96
30,122,96
28,122,96
26,122,96
24,122,96
21,122,96
19,122,96
17,122,96
18,122,96
22,122,96
30,122,96
40,122,96
49,122,96
59,122,96
66,122,96
69,122,96
69,122,96
67,122,96
64,122,96
61,122,96
57,122,96
54,122,96
50,122,96
48,122,96
45,122,96
44,122,96
43,122,96
43,122,96
43,122,96
43,122,96
43,122,96
40,122,96
38,122,96
36,122,96
33,122,96
30,122,96
28,122,96
25,122,96
22,122,96
20,122,96
19,122,96
21,122,96
27,122,96
36,122,96
45,122,96
55,122,96
64,122,96
70,122,96
72,122,96
72,122,96
70,122,96
67,122,96
63,122,96
59,122,96
55,122,96
51,122,96
47,122,96
45,122,96
42,122,96
41,122,96
40,122,96
40,122,96
38,122,96
37,122,96
34,122,96
32,122,96
29,122,96
27,122,96
24,122,96
22,122,96
19,122,96
19,122,96
21,122,96
26,122,96
34,122,96
43,122,96
53,122,96
62,122,96
68,122,96
71,122,96
70,122,96
68,122,96
65,122,96
61,122,96
57,122,96
53,122,96
50,122,96
47,122,96
45,122,96
45,122,96
45,122,96
41,122,96
40,122,96
39,122,96
36,122,96
34,122,96
32,122,96
29,122,96
27,122,96
25,122,96
22,122,96
